student_id,nombre_estudiante,grado,asignatura,docente,nota_parcial_1,nota_parcial_2,nota_final,promedio_general,periodo_evaluacion,fecha,presente,tipo_falta,tarea_id,fecha_entrega_programada,fecha_entregada,estado_entrega,cumplimiento_tareas_porcentaje,participacion_clase,interacciones_LMS,historial_reprobacion,nota_ultima_evaluacion,asistencia_porcentaje,numero_faltas_ultimos_30_dias,situacion_familiar,situacion_socioeconomica,evaluacion_emocional
8693bd12-f393-4a55-8e6b-381028b0bfe9,Richard Petersen,1ro,Lenguaje,Ryan Clarke,3.3,5.2,4.2,4.6,Trimestre 2,2025-05-22,1,,6336d002-6f85-4ec4-8a39-96e529ca9140,2025-05-20,2025-05-20,entregada a tiempo,50,3,20,3,1.6,73.5,3,padre solo,t,alta
1dd6c53c-c37e-42cc-a257-427c7df7e1ca,Angela Johnson,4to,Historia,Evelyn Smith,8.7,2.9,5.8,7.3,Trimestre 2,2025-04-05,1,,32483e0c-a31d-42dc-9637-5b3e52a6a14b,2025-04-19,2025-04-19,no entregada,68,2,4,2,6.4,60.9,8,tutor,t,baja
019e3406-44ce-4131-8c30-6d6fc23a7d0a,Gabriel Lewis,2do,Historia,Phillip Thomas,1.4,8.9,5.2,4.8,Trimestre 2,2025-05-05,0,injustificada,6a4c838a-1aad-4559-81d7-11c095eace14,2025-05-25,2025-05-25,entregada a tiempo,94,0,10,3,5.9,73.9,2,padre solo,t,media
89f67824-5fa5-4d3a-a8a0-b80a6dd37f2d,Jessica Rose,3ro,Matematicas,Pamela Kelly,8.2,2.9,5.5,8.8,Trimestre 1,2025-04-03,1,,52265b48-ec89-4939-b60c-d4cbf8d3dca3,2025-05-19,2025-05-28,entregada a tiempo,88,4,19,1,5.0,96.5,9,tutor,t,alta
577e7f4d-6c3f-47bb-9763-8d8fdc508578,Yolanda Taylor,3ro,Ciencias,Amy Leblanc,9.8,9.6,9.7,9.7,Trimestre 2,2025-05-09,1,,68a5fe5b-65e9-42f3-b60c-41996e172ace,2025-05-06,2025-05-06,entregada a tiempo,78,0,3,0,8.0,68.5,2,padres,t,media
a8ae80a2-35e8-4c6d-a09e-a7ff7ba3196b,Jennifer Turner,3ro,Ciencias,Evelyn Smith,5.9,3.6,4.8,4.2,Trimestre 2,2025-04-14,0,justificada,9ec14005-cb25-4db0-b3aa-3d084cb0b326,2025-06-02,2025-06-02,tarde,84,2,4,1,3.6,71.9,0,tutor,t,media
ca9c89c5-a9f9-4771-aee3-f58a330b99c0,Katie Young,3ro,Matematicas,Rebekah Valentine,1.3,9.2,5.2,8.9,Trimestre 3,2025-03-22,0,justificada,3c07e2ea-62df-43ad-9cd2-429144d28aa7,2025-05-10,2025-05-10,entregada a tiempo,41,4,10,1,8.4,84.0,2,padre solo,t,media
eb43dbde-8cae-4b3a-8cb0-0fd040c4c29e,Brian Fleming,1ro,Ingles,Ryan Clarke,1.6,4.5,3.0,8.6,Trimestre 3,2025-03-27,0,justificada,b85293e5-cee0-419d-adb9-97d3caaa82b8,2025-05-31,2025-05-31,tarde,66,0,6,0,7.0,66.9,6,padres,t,media
0c8a86fd-c44c-4981-bbef-dbfec58fdc04,Maureen Calderon,4to,Ingles,Brian English Jr.,5.7,3.3,4.5,5.2,Trimestre 1,2025-05-17,0,injustificada,f462220e-1083-425f-9c02-77b47aba9596,2025-05-26,2025-05-26,tarde,59,1,0,0,8.1,80.9,1,padre solo,t,alta
2596c1b1-6e44-4b1a-831d-9d2b863e5d47,David Cook,2do,Ingles,Christopher Moses,6.0,5.9,6.0,4.5,Trimestre 2,2025-04-29,1,,fa27ad6f-25f5-4acf-9cd6-5c8ca52217d7,2025-06-05,2025-06-05,tarde,74,5,5,2,9.1,63.9,9,padre solo,t,baja
84f003f2-595d-4673-ac74-26e92f7ed874,Timothy Nolan,4to,Matematicas,Phillip Thomas,1.5,7.4,4.5,4.7,Trimestre 3,2025-05-25,0,justificada,15f06b9e-38f6-4d80-a875-2fe2704a1645,2025-04-17,2025-04-17,tarde,57,3,1,0,8.3,74.9,2,padres,t,baja
2c2d7dcd-9a2e-4687-8d73-4d2f46d77033,Rachel Pham,2do,Ingles,Evelyn Smith,10.0,3.2,6.6,6.1,Trimestre 1,2025-03-20,1,,96ec2c91-fdb9-48ee-ba8f-7c3f79fc6e68,2025-04-28,2025-04-28,tarde,86,0,3,1,6.2,75.3,7,padres,t,baja
7961dafb-3f6f-4b46-b5e7-f4c42eb36e88,Jennifer Smith,1ro,Ingles,Mark Tate,1.2,6.7,4.0,6.5,Trimestre 1,2025-03-16,0,injustificada,c050ad1b-020f-438b-9c5a-acd544923d56,2025-06-11,2025-06-11,entregada a tiempo,91,5,19,3,9.1,78.5,3,madre sola,t,alta
822cc337-af90-4c7e-84fc-ec5320220764,Jason Robertson,3ro,Lenguaje,Brian English Jr.,9.1,7.6,8.3,5.3,Trimestre 3,2025-04-18,1,,46328612-1d42-4024-88fe-30dbeb0dcd45,2025-06-09,2025-06-09,entregada a tiempo,79,1,19,2,8.2,97.0,5,tutor,t,baja
da772cee-fe50-435b-911f-ee507bee6ff7,Randy Crosby,4to,Lenguaje,Rebekah Valentine,7.1,8.0,7.5,5.1,Trimestre 3,2025-04-24,0,justificada,8b54cd70-0629-4f04-9798-c293ead4821f,2025-05-03,2025-05-30,entregada a tiempo,96,0,9,0,8.2,94.6,4,padres,t,media
84345081-c477-4831-bf23-e02f3f310932,Luis Nelson,4to,Matematicas,Crystal Robinson,8.7,6.3,7.5,6.9,Trimestre 1,2025-03-23,0,injustificada,b2de4375-c1df-4e44-bdff-12fd96565c30,2025-05-18,2025-05-18,no entregada,43,1,15,0,3.0,73.7,10,tutor,t,media
281c1efa-453d-4621-a105-35c6f908dee6,Joel Blackwell,5to,Ingles,Rebekah Valentine,2.9,6.5,4.7,7.0,Trimestre 1,2025-06-08,1,,86f41e73-a8f2-4e28-ab24-f2b32d3629ac,2025-04-29,2025-04-29,entregada a tiempo,58,0,5,2,3.3,81.2,0,padres,t,alta
e54d8056-486f-46e9-a137-27b013893f36,Mark Cantu,5to,Ingles,Mark Tate,6.6,4.5,5.5,6.9,Trimestre 1,2025-05-11,0,injustificada,783a81e0-0524-4763-b4b2-d77e516e3660,2025-05-05,2025-05-05,tarde,64,5,2,2,7.5,65.2,2,tutor,t,baja
67b30474-4c40-4ee4-b171-35fcd27f8fea,Chelsea Lewis,1ro,Historia,Brian English Jr.,9.4,1.8,5.6,8.7,Trimestre 3,2025-06-07,1,,f96c8bed-8fb1-4638-97f5-38654538f74a,2025-04-14,2025-06-14,entregada a tiempo,52,5,20,0,2.9,70.2,0,padres,t,media
9d037d79-7920-4243-8d68-554354fd0959,Kathy Lang,3ro,Ciencias,Brian English Jr.,8.0,9.9,8.9,5.1,Trimestre 1,2025-04-26,1,,bbce6589-340f-41eb-ac5a-b5aa4ef2b6d5,2025-05-27,2025-05-27,entregada a tiempo,67,1,9,0,5.1,68.1,6,padre solo,t,media
761f7346-5942-4508-b6a0-ae51e55d3fa3,Natasha Boyer,1ro,Matematicas,Phillip Thomas,6.9,3.8,5.3,7.9,Trimestre 1,2025-05-03,0,injustificada,b4620d91-59fb-4c4d-96e0-ed5d50113da5,2025-04-15,2025-06-15,entregada a tiempo,83,5,13,0,8.8,61.2,4,tutor,t,alta
25935b67-08a6-47b6-914b-eb9c60383744,Randall Skinner,5to,Ingles,Mark Tate,3.4,2.8,3.1,6.1,Trimestre 2,2025-06-10,1,,59fcc3bd-a7d7-4efa-aa32-ee1dfaf76ca4,2025-05-28,2025-06-12,tarde,99,2,10,0,6.5,82.2,8,madre sola,t,baja
738c7ef8-fc16-42ae-8ac4-5a6141803dc1,Corey Nelson,4to,Ciencias,Rebekah Valentine,6.8,8.5,7.7,9.0,Trimestre 1,2025-05-09,1,,fdae2f0f-0031-4af0-a8d5-9eb4e3dfdbb3,2025-05-02,2025-05-02,entregada a tiempo,91,1,10,0,6.5,69.1,5,tutor,t,baja
7b23c5b0-9585-450d-adfb-3581a3408183,Jasmin Figueroa,2do,Ciencias,Crystal Robinson,6.0,3.8,4.9,9.0,Trimestre 3,2025-04-02,0,justificada,616e36b8-db79-42c2-a83b-035f2ee3bbb9,2025-05-27,2025-05-27,entregada a tiempo,54,5,1,2,9.7,92.8,5,padre solo,t,media
5c11e337-cec4-4a18-8c33-ee863cf65bf9,Joseph Chung,1ro,Historia,Christopher Moses,3.7,6.3,5.0,9.2,Trimestre 1,2025-05-27,0,justificada,3926572a-00fa-4805-99d8-876841a2d532,2025-04-14,2025-04-14,entregada a tiempo,52,4,0,0,6.8,60.7,10,tutor,t,baja
2e083fcb-0e92-4544-93a9-7c6cc6dbcb08,William White,4to,Lenguaje,Brian English Jr.,8.6,5.2,6.9,5.3,Trimestre 1,2025-03-16,1,,117fde8c-8546-4b83-ba98-7a55c4524a1c,2025-06-06,2025-06-06,entregada a tiempo,74,2,1,3,1.7,76.2,5,madre sola,t,media
edc2c844-12a4-4906-93d7-6c7e941b5747,Anne Nolan,4to,Ciencias,Evelyn Smith,6.8,1.9,4.3,6.8,Trimestre 3,2025-05-21,1,,1120c301-c351-4e47-bdd1-3f8b388331e6,2025-04-20,2025-04-20,entregada a tiempo,82,5,5,1,9.2,92.3,5,padre solo,t,media
43bdbeb4-2a66-4145-bf5b-1309eaa52337,Amanda Sawyer DVM,4to,Historia,Phillip Thomas,6.9,3.4,5.2,7.6,Trimestre 2,2025-05-23,0,injustificada,3f0080c8-d6c3-42f5-b474-d59ed4474dfa,2025-05-09,2025-05-09,no entregada,41,3,6,1,4.0,70.7,5,padres,t,alta
d61407b8-582d-4edc-a6c1-1814e0fb2d76,Dennis Daniel,3ro,Matematicas,Amy Leblanc,4.3,6.4,5.3,7.9,Trimestre 1,2025-06-06,0,justificada,60fb135a-e75f-4b66-b63c-9e0ec4793275,2025-06-10,2025-06-15,tarde,52,3,14,3,4.0,80.5,2,tutor,t,alta
1b6b2311-5a96-4640-ab69-eab46306a960,Ashley Hubbard,3ro,Historia,Amy Leblanc,1.6,1.1,1.4,9.1,Trimestre 1,2025-05-28,0,injustificada,9eeb6e38-1122-45d3-88d4-180776220652,2025-05-30,2025-05-30,entregada a tiempo,68,1,18,1,4.2,61.4,2,padres,t,alta
d277d68a-503d-4cd5-90ea-2e7c4dc4ffd1,Michael Lewis,4to,Historia,Crystal Robinson,5.6,5.9,5.8,6.5,Trimestre 3,2025-04-24,0,justificada,6a4afc54-9a50-4902-bee1-f9034072b069,2025-04-19,2025-04-19,entregada a tiempo,56,5,2,1,2.0,99.9,5,madre sola,t,media
9a0fa264-9795-4cd3-9f94-25a2d9c6bdfa,Rebecca Wolfe,3ro,Lenguaje,Rebekah Valentine,8.8,5.2,7.0,5.3,Trimestre 3,2025-03-15,0,justificada,9faca685-4284-487d-b1b4-9c1eec806e9b,2025-04-28,2025-06-05,entregada a tiempo,92,2,9,2,5.0,83.7,8,tutor,t,alta
16211132-551f-4961-ab66-e66b6bc81da3,Sara Gardner,3ro,Matematicas,Amy Leblanc,3.2,6.4,4.8,7.9,Trimestre 1,2025-05-12,1,,e26c7f5a-75f7-4ed4-a4c6-7e5e12333c05,2025-05-27,2025-05-27,no entregada,45,3,17,0,8.4,76.9,6,padres,t,baja
98c1ee59-4375-4855-b4f9-f55cf83f3001,Kim Rodriguez,3ro,Historia,Christopher Moses,1.7,8.2,4.9,6.9,Trimestre 3,2025-03-14,0,injustificada,f86f8f67-5b43-4773-9da7-3209b53597eb,2025-05-10,2025-06-10,tarde,71,5,7,3,6.2,65.4,7,padres,t,alta
54a7ee0c-aef3-46fc-9ebe-35cb597c8c02,Caroline Franco,2do,Ciencias,Christopher Moses,6.2,4.5,5.3,5.0,Trimestre 1,2025-04-15,1,,6add0b18-d001-4a48-95a5-e1e27795af16,2025-05-19,2025-05-19,entregada a tiempo,55,1,18,3,3.5,61.5,1,tutor,t,media
d79e1c96-fdf7-45d6-ba0d-b15c0401abc5,Christina Martinez,4to,Ciencias,Amy Leblanc,1.3,1.4,1.4,9.2,Trimestre 3,2025-04-12,1,,5cbe6652-1dd5-4447-a747-5fdacd25517d,2025-04-17,2025-04-28,tarde,87,1,15,3,6.7,75.8,9,madre sola,t,media
63389bb1-cb8a-4eb4-ab71-2ef210be8840,Christine Ryan,5to,Matematicas,Crystal Robinson,2.8,3.1,3.0,9.2,Trimestre 1,2025-05-31,0,injustificada,71f9770c-0896-4cef-8820-9d4be2678b84,2025-06-07,2025-06-08,entregada a tiempo,62,4,16,0,2.1,94.9,8,tutor,t,media
f8dc7c28-f8ad-44a1-9dbe-7076eef46404,Dawn Jones,5to,Ciencias,Rebekah Valentine,9.5,4.7,7.1,8.7,Trimestre 3,2025-05-11,0,justificada,92b0a72e-74cb-4ca9-ad2c-f1d5b9724c80,2025-04-27,2025-04-27,tarde,62,5,18,1,2.5,78.6,8,tutor,t,alta
52cdabda-77f1-44b6-b8f9-e0555b9bf69c,Jill Ortiz,2do,Ingles,Brian English Jr.,8.9,4.1,6.5,6.4,Trimestre 3,2025-06-08,1,,d185d79c-eeab-4973-8537-21a797042cfd,2025-05-28,2025-05-28,tarde,99,3,1,2,1.8,95.1,6,tutor,t,alta
d1f35748-2145-4112-bf87-0798ba2ad23f,Deanna Tucker,1ro,Matematicas,Brian English Jr.,4.3,3.7,4.0,9.2,Trimestre 2,2025-05-23,1,,9c25db3a-178d-4d2e-9ea6-a5799fa62662,2025-06-01,2025-06-01,entregada a tiempo,81,2,17,1,8.7,96.1,3,madre sola,t,media
09a8ceb2-ff3d-4dc9-95df-33565d18964b,William Kennedy,5to,Historia,Rebekah Valentine,7.1,5.0,6.0,5.8,Trimestre 3,2025-04-30,0,injustificada,d3b7acd0-da2b-469e-80a9-70ec4f324435,2025-04-29,2025-05-28,no entregada,47,4,3,0,5.0,78.4,8,tutor,t,alta
61a6ae1c-5a7d-4f48-9c19-e9062488f1ca,Adrian Washington,4to,Ingles,Crystal Robinson,3.0,6.8,4.9,7.3,Trimestre 1,2025-04-28,0,justificada,2ba83a79-6264-4bac-8cca-4a705a83545f,2025-05-27,2025-05-27,entregada a tiempo,59,4,0,3,10.0,83.7,6,madre sola,t,baja
27c67e8b-a46e-4dbd-a699-98efd08df494,Joe Cummings,1ro,Ciencias,Brian English Jr.,7.7,8.4,8.1,8.0,Trimestre 3,2025-03-21,0,injustificada,f838db95-ca6b-4fc7-91ec-a438d2e161fc,2025-04-23,2025-04-23,tarde,87,0,13,3,4.3,65.1,9,padres,t,alta
5b5ceef6-c098-49c2-a88c-1a745303fd55,Lauren Hardin,3ro,Lenguaje,Mark Tate,3.3,1.3,2.3,4.8,Trimestre 3,2025-05-10,1,,a7c6a45c-cb18-4177-a8e3-2f36370cc224,2025-05-27,2025-05-27,tarde,90,4,17,3,2.8,89.0,2,padre solo,t,media
3e4c1cdb-a167-497e-8cf4-affa18bc1c8f,Terry Davis,1ro,Matematicas,Evelyn Smith,2.2,6.0,4.1,5.4,Trimestre 3,2025-03-17,0,injustificada,66c59c30-2d24-44ff-856c-fc30055aa2af,2025-05-13,2025-05-24,entregada a tiempo,88,4,1,3,9.5,97.4,1,padres,t,alta
b9617913-cd0c-433f-9464-8ab205c4cb00,Scott Martin,4to,Historia,Crystal Robinson,3.2,6.8,5.0,5.1,Trimestre 3,2025-05-29,0,injustificada,761140aa-cb76-4174-9f49-640a70a179e3,2025-06-03,2025-06-03,entregada a tiempo,80,1,10,1,2.7,62.3,7,padres,t,media
067c8f5d-6ec7-440d-8aac-8ff38b9981b1,Brittany Bruce,5to,Matematicas,Mark Tate,8.8,8.9,8.9,7.8,Trimestre 2,2025-04-04,1,,e888c7d4-0d3b-4545-b8aa-5744e8f85428,2025-04-26,2025-04-26,entregada a tiempo,53,4,1,3,3.6,84.7,5,padres,t,media
8480e5aa-d984-4d25-80d7-820962e8a0e4,Katherine Anderson,5to,Matematicas,Pamela Kelly,6.3,1.3,3.8,8.8,Trimestre 2,2025-03-29,1,,40f72ae9-33e6-4c46-983c-5c40746d3009,2025-04-24,2025-05-14,no entregada,86,0,0,3,5.8,67.3,8,padre solo,t,media
3755d612-d8fa-46d1-903f-d53616cc188e,Donna Palmer,2do,Ingles,Pamela Kelly,8.1,4.5,6.3,6.5,Trimestre 2,2025-05-26,1,,d4ca7fb2-b5d8-413c-a899-6854b9514a08,2025-06-06,2025-06-06,no entregada,63,4,7,1,8.9,72.6,5,tutor,t,baja
5dc34f09-fb1b-4b32-b769-d067047dadd6,Patricia Williams,1ro,Lenguaje,Ryan Clarke,9.2,6.8,8.0,6.9,Trimestre 2,2025-03-31,1,,45d9e10b-fdc1-48c8-9890-118c323f478f,2025-04-13,2025-04-13,entregada a tiempo,63,2,3,3,1.5,72.4,2,tutor,t,alta
d7d02acb-0838-44ce-9991-9be00a3baae8,Misty Santiago,4to,Ingles,Brian English Jr.,9.5,3.3,6.4,8.1,Trimestre 1,2025-04-12,1,,23e98336-b669-46da-acac-07962cfbe979,2025-05-04,2025-05-04,entregada a tiempo,66,5,8,0,5.1,86.3,7,tutor,t,baja
9e15bdfd-aa87-4557-8204-c8f3046932fc,Jennifer Thomas,3ro,Lenguaje,Pamela Kelly,2.3,1.3,1.8,9.2,Trimestre 3,2025-04-02,1,,f19d8805-3df4-4954-a771-8bf7c49740f0,2025-06-03,2025-06-03,entregada a tiempo,64,0,17,2,8.8,86.3,3,tutor,t,media
92968611-d5fc-44dc-beca-e483868d01f0,Janet Hodge,2do,Ingles,Amy Leblanc,1.6,2.2,1.9,6.9,Trimestre 1,2025-05-22,1,,3c5d97a9-5ae4-4bc5-ae0a-04fcafc244b4,2025-05-27,2025-05-27,entregada a tiempo,67,3,0,2,7.5,79.9,10,tutor,t,baja
82c3938e-8ec3-4ea5-aba6-c56804c49618,Stacey Stanley,5to,Ingles,Amy Leblanc,9.7,1.5,5.6,5.2,Trimestre 2,2025-03-14,1,,a852c969-5686-45c7-98b6-c5dde595fa59,2025-04-22,2025-04-22,entregada a tiempo,84,4,14,2,9.7,74.2,8,madre sola,t,alta
e2ff6706-e652-4717-a682-cf7fe2e39125,Laura Frost,1ro,Ciencias,Mark Tate,1.7,1.2,1.4,8.1,Trimestre 2,2025-06-03,1,,23e00cc7-592c-40f1-8fba-d8d1788ebea2,2025-04-22,2025-04-22,tarde,76,4,3,1,6.7,94.6,10,padres,t,alta
7a39c050-edd2-49ba-8676-33c1fa76e15b,Lauren Morris,2do,Ciencias,Phillip Thomas,2.6,4.2,3.4,7.0,Trimestre 3,2025-04-24,0,injustificada,6df97715-9abd-4fc5-88a6-75c81d20ce75,2025-06-03,2025-06-03,entregada a tiempo,79,4,6,2,2.6,90.4,6,padre solo,t,media
deef2ef5-d459-44d9-a5e1-42d6e5d766b2,Heather Jones,5to,Historia,Brian English Jr.,8.7,3.6,6.1,7.3,Trimestre 2,2025-03-22,0,justificada,320932b7-a1fa-41f4-8718-5ff6041698c9,2025-06-09,2025-06-09,entregada a tiempo,52,2,18,1,2.7,66.3,1,madre sola,t,baja
295fea83-69a6-4d39-acc3-c390d60cfdfa,Matthew Diaz,1ro,Ingles,Rebekah Valentine,9.5,9.1,9.3,4.6,Trimestre 1,2025-05-28,1,,5cba1d33-256e-4cb7-9249-88eb43e75128,2025-06-02,2025-06-02,entregada a tiempo,100,1,11,3,7.0,77.1,2,padres,t,media
ec73d31f-817c-43f7-bf4f-e82cb91c0136,Jill Holden,1ro,Ciencias,Brian English Jr.,8.0,6.8,7.4,5.8,Trimestre 3,2025-03-21,0,justificada,fec78dd4-0ef6-4a48-bb70-a992f609ccfa,2025-05-15,2025-05-15,entregada a tiempo,44,2,9,1,2.5,82.1,7,padres,t,baja
8b60df6e-3802-4a1b-b266-38e4328e563f,Jennifer Garrett,2do,Matematicas,Ryan Clarke,6.6,4.4,5.5,8.6,Trimestre 3,2025-05-31,0,injustificada,52bda340-6d01-46f6-bb03-1bde04fa3f75,2025-05-11,2025-05-11,tarde,46,3,8,0,2.0,97.5,4,padres,t,media
4acfd204-76c1-491a-8853-68db18566633,Robin Martinez,4to,Ciencias,Crystal Robinson,2.7,4.4,3.6,8.0,Trimestre 2,2025-03-24,0,justificada,064fbca2-d894-4c4e-ade9-f9e86ccbdda0,2025-04-30,2025-04-30,tarde,48,0,14,2,6.4,71.0,5,madre sola,t,media
347385e2-3271-4630-85ca-b69f2f11bc47,Katie Brown,2do,Historia,Amy Leblanc,2.2,9.4,5.8,6.0,Trimestre 1,2025-04-14,0,injustificada,ae598ef7-7808-4be0-bc59-40210b56ba55,2025-05-23,2025-05-23,entregada a tiempo,56,2,9,1,8.0,75.5,5,madre sola,t,alta
8063071f-aed3-4db1-95c2-a513d105a326,James Martin,5to,Ingles,Rebekah Valentine,1.8,7.6,4.7,9.8,Trimestre 2,2025-05-12,0,injustificada,092b21ee-29f3-441a-a024-8949a14ae9d8,2025-05-20,2025-05-20,entregada a tiempo,76,0,5,3,7.5,76.1,0,padres,t,media
0bea0f20-ec83-4737-98bd-e8c8d7bdc5e8,Jennifer Thomas,5to,Ciencias,Phillip Thomas,8.6,6.0,7.3,6.4,Trimestre 1,2025-03-15,0,injustificada,3aec3dcc-543c-467c-836c-404f7f1b3854,2025-04-27,2025-04-27,tarde,93,1,8,2,4.2,60.3,0,padre solo,t,media
410304ed-f2c8-49e7-8140-28ebc8eaddb2,Terrance Sanders,5to,Historia,Ryan Clarke,1.9,1.3,1.6,8.3,Trimestre 1,2025-04-18,1,,ec82460e-64d6-4cd6-add1-f64cdd4ee817,2025-04-18,2025-05-11,no entregada,76,1,18,2,1.3,89.0,0,padres,t,baja
79cf9eef-31ff-4ac6-b16e-2efe32caae34,Jimmy Mcdonald,2do,Historia,Mark Tate,4.5,7.9,6.2,8.7,Trimestre 2,2025-03-20,1,,efb98997-b39e-4e3d-8e90-5c5430d25783,2025-05-01,2025-05-01,no entregada,92,3,18,2,5.3,98.1,9,padres,t,alta
4135281e-2f5a-4a09-a875-8e7ac03472b6,Michelle Morgan,2do,Ingles,Amy Leblanc,9.5,3.2,6.3,5.8,Trimestre 3,2025-03-18,0,justificada,13cfd970-17c2-47ca-a0ba-e975a8428bf3,2025-05-21,2025-05-21,no entregada,92,4,9,3,3.0,83.4,3,padre solo,t,baja
3360abf7-8c8a-4eee-919f-f292555d21cb,Jessica Burke,5to,Historia,Brian English Jr.,7.2,1.6,4.4,9.7,Trimestre 3,2025-04-25,1,,8c902077-dfda-464a-86b9-8519f76216cf,2025-05-28,2025-05-28,entregada a tiempo,100,5,19,3,3.6,82.2,8,madre sola,t,media
f45059bb-3176-4b34-9b11-fcf839c8a2c4,Ian Howard,2do,Ingles,Christopher Moses,8.5,8.1,8.3,6.4,Trimestre 3,2025-05-06,1,,75a22d5e-9315-4356-8c60-0bef795c2ff9,2025-05-19,2025-05-19,entregada a tiempo,81,4,18,1,9.5,62.4,6,tutor,t,baja
